new_listing,title,condition,inventory,sku,make,model,description,year,finish,price,product_type,subcategory_1,subcategory_2,product_image_1,product_image_2,product_image_3,product_image_4,product_image_5,product_image_6,product_image_7,product_image_8,product_image_9,product_image_10,product_image_11,product_image_12,product_image_13,product_image_14,product_image_15,product_image_16,product_image_17,product_image_18,product_image_19,product_image_20,product_image_21,product_image_22,product_image_23,product_image_24,product_image_25,video_url,offers_enabled,shipping_price,combine_and_save_shipping_price,local_pickup,shipping_profile_name,seller_cost,upc,upc_does_not_apply,prop_65_warning,id,auto_offer_percentage,auto_offer_message,auto_offer_shipping_price_override,bump_rate,bump_rate_recommendation,sold_as_is,country_of_origin,trigger_combine_and_save_shipping,follows_inventory_sku,overwrite_images
TRUE to create a new listing and FALSE to update an existing listing (requires sku),Tips (delete EXAMPLE rows before uploading),Mandatory – Select from below,Inventory greater than 1 only applies to items with condition of Brand New,Optional for used gear,Mandatory,Mandatory,Mandatory - listings with good descriptions sell faster,Mandatory,Mandatory,Mandatory,Mandatory – Select from below,"Optional. For the chosen product_type, select 1 corresponding subcategory from the list below.","Optional. For the chosen product_type, select 1 corresponding subcategory.",Paste a link to an image of the item to add pictures to your listing. At least one picture is required.,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Currently Reverb can only embed YouTube videos in listings on our site. This field is Optional,TRUE allows offers and FALSE sets the listing to BUY IT NOW,Mandatory,"Optional - Combine & Save shipping price. For new listing, leave blank. Applied when this item is shipped in multiples or with an item that has a higher standard shipping rate. Enter '0' to offer free add-on shipping. Enter 'NONE' to remove Combine & Save from existing listings. Must be less than shipping_price.",TRUE lets buyers know they can pickup the item locally and FALSE means that it's shipping only.,Optional - Choose from a shipping profile you have created on Reverb,Optional - The price you paid for this item,Include for brand new items,Select TRUE if this is a handmade item or a UPC code does not apply,"Optional - If your listing contains chemicals that are required to be reported under California Prop 65, please provide your warning statement. We will add the required 'Warning' label and link to California's information page, so you only need to provide the body of the warning. For more information, see https://www.p65warnings.ca.gov/new-proposition-65-warnings",Optional - Reverb listing id,Optional - Auto-offer percentage,Optional - Auto-Offer message to buyer,Optional - Shipping price charged when sending Direct Offers for Reverb Calculated listings (required when listing uses Reverb Calculated Shipping),"Optional - Bump rate percentage. Enter a half or whole percentage number (with no '%' sign) between 0 and 5. E.g. '0.0', '3.5', '4', and '4.0' are all valid; '3.7', '6.0', and '3.5%' are not. Blank rows are ignored.","","Select TRUE if this this listing is sold 'as described'. Items sold 'As-Described' are excluded from your shop return policy. You are still obligated to write accurate and detailed descriptions, provide good photos, and deliver these items to the buyer in the described condition.",Optional - Country of origin country code,Optional - Select TRUE if you want this listing to always activate Combine & Save shipping discounts on other eligible items.,"",Optional - Changes image upload behavior to overwrite images in their respective positions
EXAMPLE,Epiphone Coronet 1959,Non Functioning,"",CORONET59,Epiphone,Coronet,This a fantastic Epiphone Coronet from 1959,1959,Cherry,5500,accessories,"amp-covers, banjo-strings, bass-cases, bass-gig-bags, bass-strings, books-and-dvds, cable-adapters-and-splitters, cables, capos, case-candy, guitar-cases, guitar-gig-bags, guitar-strings, headphones, humidifiers, mandolin-strings, merchandise, metronome, other-strings, picks, power-supplies, slides, stands, straps, tools, tuners, ukulele-strings","","","","","","","","","","","","","","","","","","","","","","","","","","",https://www.youtube.com/watch?v=qpdrCBlbR8Y,TRUE,10,0,FALSE,"","",4011200296908,FALSE,,"","","","","","",FALSE,US,FALSE,"",""
EXAMPLE,"",Poor,"","","","","","","","",acoustic-guitars,"12-string, archtop, baritone, built-in-electronics, classical, concert, dreadnought, jumbo, left-handed, mini-slash-travel, om-and-auditorium, parlor, resonator, tenor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
EXAMPLE,"",Fair,"","","","","","","","",amps,"acoustic-guitar-amps, amp-attenuators, bass-amp-stacks, bass-cabinets, bass-combos, bass-headphone-amps, bass-heads, bass-modeling-amps, bass-preamps, boutique-amps, electronic-drum-amps, guitar-amp-stacks, guitar-cabinets, guitar-combos, guitar-headphone-amps, guitar-heads, guitar-modeling-amps, guitar-power-amps, guitar-preamps, keyboard-amps, pedalboard-bass-amps, pedalboard-guitar-amps, small-amps","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
EXAMPLE,"",Good,"","","","","","","","",band-and-orchestra,"baritone, bassoons, brass-accessories, cellos, clarinets, flutes, french-horns, harps, oboes, saxophones, string-accessories, trombones, trumpets, tubas, upright-bass, violas, violins, woodwind-accessories","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
EXAMPLE,"",Very Good,"","","","","","","","",bass-guitars,"4-string, 5-string-or-more, acoustic-bass-guitars, active-electronics, fretless, left-handed, short-scale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
EXAMPLE,"",Excellent,"","","","","","","","",dj-and-lighting-gear,"all-in-one-dj-systems, dj-controllers, dj-interfaces, lighting, mixers, turntables","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
EXAMPLE,"",Mint,"","","","","","","","",drums-and-percussion,"auxiliary-percussion, bass-drum, bells-and-glockenspiels, cajons, cases-and-bags, concert-bass-drums, concert-cymbals, concert-snare-drums, concert-toms, congas-and-bongos, crash, cymbal-packs, djembes, drum-keys-and-tuners, drum-parts, drum-sticks-and-mallets, full-acoustic-kits, full-electronic-kits, gongs, heads, hi-hats, marching-bass-drums, marching-cymbals, marching-snare-drums, marching-toms-and-tenors, marimbas, modules, mounts, other-splash-china-etc, pad-controllers, pedals, practice-pads, ride, shakers, snare, stands, thrones, timpani, tom, vibraphones, xylophones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
EXAMPLE,"",Brand New,"","","","","","","","",effects-and-pedals,"amp-simulators, bass-pedals, buffer, cabinet-simulators, chorus-and-vibrato, compression-and-sustain, controllers-volume-and-expression, delay, distortion, eq, flanger, fuzz, guitar-synths, loop-pedals-and-samplers, multi-effect-unit, noise-generators, noise-and-reduction-gates, octave-and-pitch, overdrive-and-boost, pedalboards-and-power-supplies, phase-shifters, preamps, reverb, ring-modulators, tremolo, tuning-pedals, vocal, wahs-and-filters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
EXAMPLE,"","","","","","","","","","",electric-guitars,"12-string, archtop, baritone, hollow-body, lap-steel, left-handed, pedal-steel, semi-hollow, solid-body, tenor, travel-slash-mini","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
EXAMPLE,"","","","","","","","","","",folk-instruments,"accordions, bajo-quintos, bajo-sextos, banjos, guitarrones, harmonicas, harmoniums, mandolins, ouds, shrutis, sitars, ukuleles, vihuelas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
EXAMPLE,"","","","","","","","","","",home-audio,"amplifiers, bookshelf-speakers, cd-players, cables, closed-back-headphones, complete-stereo-systems, dacs, equalizers, floor-speakers, headphone-parts-and-accessories, in-ear-headphones, in-wall-speakers, media-servers, noise-canceling-headphones, on-ear-headphones, open-back-headphones, outdoor-speakers, over-ear-headphones, portable-digital-players, portable-speaker-systems, power-distribution-and-conditioning, preamps, receivers, speaker-parts-and-accessories, streamers, subwoofers, surround-and-satellite-speakers, tape-decks, tuners-and-radios, turntable-parts-and-accessories, turntables, wireless-headphones, wireless-speakers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
EXAMPLE,"","","","","","","","","","",keyboards-and-synths,"analog-synths, arranger-keyboards, blank-modular-synth-panels, complete-modular-synth-systems, desktop-synths, digital-home-pianos, digital-stage-pianos, digital-synths, drum-machines, electric-pianos, eurorack, foot-pedal-midi-controllers, grand-pianos, grooveboxes, keyboard-midi-controllers, keyboard-sustain-pedals, keyboard-synths, keyboard-and-piano-benches, keyboard-and-synth-cases, keyboard-and-synth-covers, keyboard-and-synth-gig-bags, keyboard-and-synth-parts, keyboard-and-synth-stands, keytar-midi-controllers, modular-synth-cases, modular-synth-dsp-cards, modular-synth-power-supplies, modular-synth-splitters-slash-hubs, organs, pad-midi-controllers, portable-keyboards, rackmount-synths, samplers, sequencers, synth-modules, upright-pianos, vocoders, wind-midi-controllers, workstation-keyboards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
EXAMPLE,"","","","","","","","","","",parts,"acoustic-pickups, amp-parts, bass-guitar-parts, bass-pickups, bridge-pins, bridges, guitar-bodies, guitar-pickups, knobs, necks, pedal-parts, pickguards, replacement-speakers, tailpieces, tubes, tuning-heads","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
EXAMPLE,"","","","","","","","","","",pro-audio,"500-series, ad-da-converters, software, channel-strips, compressors-and-limiters, di-boxes, delay, equalizers, gates-and-expanders, interfaces, microphone-preamps, microphones, mixers, multi-effect, passive-speakers, patchbays, portable-pa-systems, portable-recorders, power-amps, powered-mixers, powered-speakers, recording, reverb, studio-furniture, studio-monitors, summing, utility, wireless-instrument-systems, wireless-receivers, wireless-transmitters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
